identity_a,identity_b,similarity
M401,M386,0.1673
M357,M345,0.1673
M169,M345,0.1673
M401,M103,0.1668
M183,M295,0.1663
M350,M168,0.1663
M168,M332,0.1661
M103,M237,0.1658
M401,M239,0.1656
M127,M350,0.1656
M375,M350,0.1647
M143,M412,0.1643
M143,M386,0.1643
M321,M374,0.1643
M270,M254,0.1643
M168,M151,0.1643
M168,M153,0.1643
M177,M231,0.1643
M143,M177,0.1643
M329,M351,0.1643
M295,M357,0.1643
M254,M402,0.1643
M231,M412,0.1643
M231,M374,0.1643
M231,M304,0.1643
M365,M304,0.1643
M252,M321,0.1643
M270,M185,0.164
M143,M153,0.1639
M357,M365,0.1639
M168,M178,0.1639
M155,M237,0.1639
M383,M151,0.1633
M177,M386,0.1633
M355,M178,0.1633
M177,M304,0.1633
M190,M345,0.1632
M401,M178,0.1632
M252,M345,0.1632
M103,M177,0.1627
M059,M143,0.1626
M059,M235,0.1626
M059,M231,0.1626
M237,M178,0.1625
M235,M103,0.1621
M183,M137,0.162
M163,M137,0.162
M163,M153,0.162
M350,M357,0.162
M183,M153,0.162
M222,M137,0.162
M252,M365,0.1615
M155,M332,0.1613
M163,M374,0.1611
M163,M198,0.1611
M350,M386,0.1611
M239,M272,0.1611
M127,M177,0.1607
M059,M163,0.1605
M383,M350,0.1603
M185,M223,0.1603
M190,M365,0.1601
M103,M222,0.1597
M237,M198,0.1597
M375,M103,0.1593
M169,M272,0.1591
M235,M270,0.1591
M102,M153,0.1591
M102,M151,0.1591
M198,M355,0.1583
M270,M386,0.1583
M252,M185,0.1583
M304,M151,0.1583
M374,M151,0.1583
M401,M262,0.1583
M357,M412,0.1583
M401,M332,0.1583
M416,M412,0.1583
M355,M412,0.1583
M198,M262,0.1583
M168,M254,0.1583
M386,M151,0.1583
M272,M177,0.1583
M383,M177,0.1583
M383,M254,0.1576
M383,M295,0.1576
M128,M332,0.1571
M237,M102,0.1571
M163,M262,0.1571
M252,M347,0.1562
M155,M262,0.1561
M347,M128,0.1555
M416,M402,0.1553
M103,M355,0.1553
M103,M357,0.1553
M103,M329,0.1553
M252,M374,0.155
M262,M345,0.155
M190,M272,0.1548
M235,M198,0.1545
M351,M332,0.1543
M222,M168,0.154
M108,M365,0.154
M375,M151,0.1537
M375,M153,0.1537
M185,M102,0.1535
M128,M143,0.1526
M163,M272,0.1521
M272,M223,0.1519
M351,M262,0.1519
M401,M295,0.1515
M059,M190,0.151
M169,M350,0.1508
M416,M295,0.1505
M235,M102,0.15
M383,M374,0.15
M185,M374,0.15
M357,M151,0.15
M262,M332,0.15
M252,M357,0.15
M143,M351,0.15
M127,M401,0.15
M355,M151,0.15
M355,M153,0.15
M252,M355,0.15
M143,M254,0.15
M128,M222,0.15
M412,M178,0.15
M137,M329,0.15
M329,M153,0.15
M235,M347,0.15
M222,M416,0.15
M386,M223,0.15
M254,M321,0.15
M108,M163,0.15
M169,M153,0.15
M357,M153,0.15
M386,M178,0.15
M383,M304,0.15
M231,M295,0.15
M252,M386,0.1488
M059,M383,0.1479
M059,M168,0.1477
M222,M254,0.1476
M149,M222,0.1475
M183,M272,0.1472
M416,M102,0.1468
M375,M177,0.1466
M137,M262,0.1465
M183,M178,0.1464
M190,M151,0.1452
M272,M329,0.1452
M190,M153,0.1452
M190,M137,0.1452
M401,M329,0.145
M383,M102,0.145
M185,M262,0.1446
M401,M365,0.1436
M103,M231,0.143
M252,M163,0.1426
M252,M183,0.1426
M222,M177,0.1426
M239,M151,0.1426
M332,M153,0.1423
M401,M304,0.1423
M252,M102,0.1423
M270,M262,0.1423
M329,M345,0.1423
M401,M374,0.1423
M402,M262,0.1423
M347,M177,0.1423
M402,M345,0.1423
M137,M177,0.1417
M059,M237,0.1414
M155,M178,0.1409
M416,M332,0.1404
M103,M262,0.1402
M235,M365,0.1399
M198,M365,0.1393
M169,M254,0.1393
M254,M223,0.1389
M231,M151,0.1389
M143,M151,0.1389
M168,M177,0.1389
M329,M365,0.1389
M321,M151,0.1389
M137,M231,0.1389
M137,M321,0.1389
M321,M153,0.1389
M272,M332,0.1382
M059,M177,0.1382
M252,M155,0.137
M270,M350,0.137
M350,M402,0.137
M222,M374,0.1361
M155,M272,0.1361
M222,M386,0.1361
M235,M412,0.1357
M102,M262,0.1357
M235,M304,0.1357
M252,M137,0.1354
M272,M321,0.1351
M185,M143,0.1351
M185,M231,0.1351
M401,M108,0.1345
M149,M223,0.1341
M416,M374,0.1333
M163,M185,0.1333
M252,M103,0.1329
M401,M254,0.1327
M350,M262,0.1327
M237,M254,0.1316
M350,M416,0.1313
M163,M345,0.1311
M416,M329,0.1303
M223,M153,0.13
M177,M198,0.13
M143,M365,0.13
M270,M178,0.13
M321,M365,0.13
M231,M365,0.13
M137,M223,0.13
M149,M365,0.1293
M168,M345,0.1293
M347,M185,0.1285
M350,M143,0.1284
M163,M350,0.1269
M149,M350,0.1267
M198,M223,0.125
M401,M151,0.125
M270,M153,0.125
M329,M151,0.125
M108,M222,0.125
M102,M345,0.125
M386,M262,0.125
M412,M262,0.125
M270,M151,0.125
M252,M128,0.1241
M365,M223,0.1227
M143,M178,0.1227
M231,M178,0.1227
M383,M365,0.1227
M163,M254,0.1226
M183,M254,0.1226
M222,M351,0.1226
M163,M178,0.1214
M103,M416,0.1214
M365,M102,0.121
M235,M168,0.121
M235,M153,0.1206
M235,M137,0.1206
M401,M345,0.1206
M272,M355,0.1202
M185,M402,0.1202
M059,M252,0.1194
M416,M137,0.119
M416,M151,0.119
M416,M153,0.119
M254,M262,0.1186
M295,M262,0.1186
M235,M185,0.1182
M357,M262,0.1173
M332,M151,0.1173
M383,M178,0.1167
M177,M153,0.1167
M177,M151,0.1167
